577,3309
578,3307
579,3309
580,3311
581,3311
582,3318
583,3306
584,3318
585,3319
586,3321
587,3323
588,3320
589,3325
590,3325
591,3330
592,3332
593,3340
594,3331
595,3343
596,3338
597,3338
598,3342
599,3343
600,3345
601,3346
602,3349
603,3348
604,3352
605,3352
606,3355
607,3359
608,3357
609,3359
610,3363
611,3363
612,3364
613,3367
614,3368
615,3375
616,3371
617,3373
618,3373
619,3374
620,3375
621,3374
622,3380
623,3382
624,3383
625,3383
626,3391
627,3387
628,3389
629,3391
630,3395
631,3391
632,3403
633,3396
634,3394
635,3405
636,3399
637,3394
638,3403
639,3398
640,3407
641,3409
642,3407
643,3412
644,3415
645,3413
646,3417
647,3419
648,3419
649,3423
650,3422
651,3423
652,3423
653,3427
654,3427
655,3429
656,3431
657,3431
658,3432
659,3434
660,3436
661,3437
662,3437
663,3439
664,3443
665,3442
666,3443
667,3444
668,3444
669,3444
670,3439
671,3447
672,3452
673,3449
674,3453
675,3454
676,3458
677,3459
678,3460
679,3459
680,3460
681,3461
682,3463
683,3466
684,3466
685,3467
686,3469
687,3467
688,3471
689,3473
690,3471
691,3475
692,3475
693,3479
694,3479
695,3477
696,3480
697,3482
698,3488
699,3485
700,3485
701,3487
702,3487
703,3487
704,3490
705,3492
706,3494
707,3495
708,3497
709,3494
710,3497
711,3499
712,3499
713,3499
714,3505
715,3503
716,3503
717,3505
718,3508
719,3508
720,3509
721,3513
722,3510
723,3511
724,3514
725,3514
726,3516
727,3515
728,3515
729,3518
730,3521
731,3521
732,3516
733,3522
734,3525
735,3523
736,3527
737,3526
738,3528
739,3529
740,3530
741,3531
742,3534
743,3531
744,3533
745,3535
746,3535
747,3537
748,3535
749,3541
750,3541
751,3543
752,3543
753,3545
754,3542
755,3544
756,3547
757,3548
758,3550
759,3550
760,3550
761,3551
762,3551
763,3551
764,3554
765,3555
766,3556
767,3556
768,3558
769,3557
770,3561
771,3560
772,3564
773,3562
774,3563
775,3565
776,3565
777,3566
778,3567
779,3569
780,3567
781,3570
782,3572
783,3571
784,3571
785,3575
786,3574
787,3575
788,3575
789,3579
790,3565
791,3579
792,3581
793,3581
794,3583
795,3581
796,3583
797,3583
798,3582
799,3583
800,3586
801,3587
802,3587
803,3588
804,3591
805,3591
806,3591
807,3591
808,3592
809,3593
810,3593
811,3595
812,3597
813,3597
814,3599
815,3599
816,3599
817,3600
818,3599
819,3599
820,3603
821,3605
822,3603
823,3604
824,3604
825,3605
826,3609
827,3607
828,3608
829,3612
830,3614
831,3615
832,3611
833,3612
834,3613
835,3613
836,3615
837,3615
838,3615
839,3617
840,3611
841,3618
842,3615
843,3621
844,3619
845,3622
846,3622
847,3623
848,3623
849,3625
850,3624
851,3625
852,3627
853,3627
854,3627
855,3635
856,3628
857,3629
858,3631
859,3631
860,3631
861,3631
862,3642
863,3634
864,3630
865,3637
866,3638
867,3637
868,3637
869,3637
870,3642
871,3639
872,3640
873,3640
874,3642
875,3640
876,3642
877,3645
878,3643
879,3644
880,3646
881,3646
882,3646
883,3646
884,3647
885,3648
886,3649
887,3649
888,3650
889,3651
890,3649
891,3665
892,3653
893,3652
894,3655
895,3653
896,3655
897,3655
898,3657
899,3660
900,3649
901,3660
902,3665
903,3660
904,3658
905,3659
906,3661
907,3663
908,3661
909,3663
910,3663
911,3663
912,3665
913,3666
914,3662
915,3670
916,3667
917,3666
918,3667
919,3670
920,3669
921,3669
922,3669
923,3671
924,3671
925,3671
926,3671
927,3671
928,3671
929,3674
930,3673
931,3675
932,3675
933,3676
934,3675
935,3678
936,3678
937,3683
938,3679
939,3679
940,3681
941,3682
942,3679
943,3682
944,3683
945,3683
946,3682
947,3682
948,3684
949,3685
950,3687
951,3684
952,3688
953,3686
954,3687
955,3688
956,3687
957,3689
958,3689
959,3691
960,3684
961,3686
962,3697
963,3691
964,3691
965,3694
966,3693
967,3695
968,3693
969,3694
970,3695
971,3695
972,3690
973,3702
974,3680
975,3695
976,3703
977,3697
978,3701
979,3698
980,3701
981,3703
982,3699
983,3700
984,3703
985,3700
986,3704
987,3702
988,3703
989,3704
990,3705
991,3704
992,3704
993,3705
994,3705
995,3707
996,3710
997,3711
998,3706
999,3707
